lastAppOpenAction lastAudioCable lastLocationChanged lastChargeCable lastWiFiConnected lastDataConnected lastBluetoothConnected lastLightChanged packName
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null null null null null null LightChangedAction[lighter] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.android.mms]
AppOpenAction[com.android.mms] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] null WiFiConnectedAction[<unknown] DataConnectedAction[] null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction[<unknown] DataConnectedAction[] null null AppOpenAction[com.android.mms]
AppOpenAction[com.android.mms] null LocationChangedAction[] null WiFiConnectedAction[<unknown] DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
null null null null null null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null null null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.supercell.clashroyale]
